,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
63,140.0,0.7777777777777778,260.0,40.0,160.0,0.8666666666666667,0.4666666666666667,0.5833333333333334,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,160,0.02
64,133.0,0.8159509202453987,270.0,30.0,167.0,0.9,0.44333333333333336,0.5745140388768899,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,160,0.03
65,3.0,1.0,300.0,0.0,297.0,1.0,0.01,0.019801980198019802,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,190,0.01
66,31.0,0.9117647058823529,297.0,3.0,269.0,0.99,0.10333333333333333,0.18562874251497005,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,180,0.03
67,61.0,0.8970588235294118,293.0,7.0,239.0,0.9766666666666667,0.20333333333333334,0.3315217391304348,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,170,0.01
68,165.0,0.7894736842105263,256.0,44.0,135.0,0.8533333333333333,0.55,0.6483300589390962,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,150,0.02
69,15.0,0.9375,299.0,1.0,285.0,0.9966666666666667,0.05,0.09493670886075949,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,180,0.01
70,222.0,0.7115384615384616,210.0,90.0,78.0,0.7,0.74,0.7254901960784313,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 140}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,140,0.03
71,67.0,0.881578947368421,291.0,9.0,233.0,0.97,0.22333333333333333,0.35638297872340424,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,170,0.02
72,13.0,1.0,300.0,0.0,287.0,1.0,0.043333333333333335,0.08306709265175719,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,180,0.02
73,3.0,1.0,300.0,0.0,297.0,1.0,0.01,0.019801980198019802,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,180,0.01
74,49.0,0.9245283018867925,296.0,4.0,251.0,0.9866666666666667,0.16333333333333333,0.2776203966005666,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,170,0.03
75,157.0,0.8306878306878307,268.0,32.0,143.0,0.8933333333333333,0.5233333333333333,0.642126789366053,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,150,0.03
76,84.0,0.8484848484848485,285.0,15.0,216.0,0.95,0.28,0.42105263157894746,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,160,0.02
77,76.0,0.8539325842696629,287.0,13.0,224.0,0.9566666666666667,0.25333333333333335,0.3907455012853471,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,160,0.01
78,22.0,1.0,300.0,0.0,278.0,1.0,0.07333333333333333,0.13664596273291926,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,170,0.02
79,23.0,0.9583333333333334,299.0,1.0,277.0,0.9966666666666667,0.07666666666666666,0.14197530864197527,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,170,0.01
